passageId,title,gradeLevel,wordCount,paragraphCount,uniqueParagraphCount,repeatedParagraphCount,sentenceCount,uniqueSentenceCount,repeatedSentenceCount,uniqueSentenceRatio,repeatedBlocks,result,severity
paired,Two Views of a Community Garden,6,1253,45,10,35,74,13,61,0.1757,2x:first text uses a reflective narrator so readers see how | 2x:a small classroom project changes the student s understanding of | 2x:responsibility the second text uses a more public informational style | 2x:that weighs evidence before recommending action both texts include people | 2x:making decisions with limited resources but they develop that idea | 2x:differently one emphasizes personal observation while the other emphasizes data | 2x:compromise and community impact a reader can compare the texts | 2x:by asking which details show cooperation which details show obstacles | 2x:and which details show how evidence changes a plan the | 2x:contrast matters because a garden is not presented as a | 2x:simple decoration in both texts the garden becomes a test | 2x:of planning patience and shared responsibility the first text uses | 2x:a reflective narrator so readers see how a small classroom | 2x:project changes the student s understanding of responsibility the second | 2x:text uses a m,FAIL,BLOCKER
table,Designing a Water-Smart Schoolyard,6,1551,68,12,56,110,12,98,0.1091,2x:single perfect design instead it helps readers compare benefits and | 2x:trade offs which is important in an engineering problem students | 2x:also considered maintenance because a design that works for one | 2x:week might fail after several months this long term thinking | 2x:made the investigation more realistic the rain barrel saved the | 2x:most water but the overflow problem showed why data must | 2x:be interpreted instead of copied without analysis by combining two | 2x:solutions the class used evidence from the table and information | 2x:from the passage that connection between prose and data supports | 2x:the final recommendation the chart does not identify a single | 2x:perfect design instead it helps readers compare benefits and trade | 2x:offs which is important in an engineering problem students also | 2x:considered maintenance because a design that works for one week | 2x:might fail after several months this long term thinking made | 2x:the investigation more realistic ,FAIL,BLOCKER
informational,How Wetlands Protect a Watershed,6,1569,83,13,70,81,11,70,0.1358,2x:water soil plants and animals interact in ways that affect | 2x:the whole watershed the passage uses cause and effect structure | 2x:to show that slowing water can reduce erosion improve water | 2x:clarity and protect habitats downstream another section explains a problem | 2x:and solution relationship runoff carries pollutants and wetland plants help | 2x:reduce the amount that reaches creeks technical terms are explained | 2x:through context so readers can understand how filtration sediment nutrients | 2x:and habitat are connected these details develop the central idea | 2x:that wetlands are not empty land they are active natural | 2x:systems that protect water quality scientists describe wetlands as systems | 2x:because water soil plants and animals interact in ways that | 2x:affect the whole watershed the passage uses cause and effect | 2x:structure to show that slowing water can reduce erosion improve | 2x:water clarity and protect habitats downstream another section explains a,FAIL,BLOCKER
literary,The Last Bell Before the Storm,6,1116,32,10,22,59,15,44,0.2542,2x:the project when she had treated every task like a | 2x:checklist and let malik make most of the decisions now | 2x:the storm made each choice feel less like an assignment | 2x:and more like a promise to the people who had | 2x:trusted the class if we hurry we can save the | 2x:sign frames without stepping near the flooded drain malik said | 2x:nora noticed that his voice sounded nervous not careless and,FAIL,BLOCKER
paired,Two Views of a Community Garden,6,1253,45,10,35,74,13,61,0.1757,2x:first text uses a reflective narrator so readers see how | 2x:a small classroom project changes the student s understanding of | 2x:responsibility the second text uses a more public informational style | 2x:that weighs evidence before recommending action both texts include people | 2x:making decisions with limited resources but they develop that idea | 2x:differently one emphasizes personal observation while the other emphasizes data | 2x:compromise and community impact a reader can compare the texts | 2x:by asking which details show cooperation which details show obstacles | 2x:and which details show how evidence changes a plan the | 2x:contrast matters because a garden is not presented as a | 2x:simple decoration in both texts the garden becomes a test | 2x:of planning patience and shared responsibility the first text uses | 2x:a reflective narrator so readers see how a small classroom | 2x:project changes the student s understanding of responsibility the second | 2x:text uses a m,FAIL,BLOCKER
table,Designing a Water-Smart Schoolyard,6,1551,68,12,56,110,12,98,0.1091,2x:single perfect design instead it helps readers compare benefits and | 2x:trade offs which is important in an engineering problem students | 2x:also considered maintenance because a design that works for one | 2x:week might fail after several months this long term thinking | 2x:made the investigation more realistic the rain barrel saved the | 2x:most water but the overflow problem showed why data must | 2x:be interpreted instead of copied without analysis by combining two | 2x:solutions the class used evidence from the table and information | 2x:from the passage that connection between prose and data supports | 2x:the final recommendation the chart does not identify a single | 2x:perfect design instead it helps readers compare benefits and trade | 2x:offs which is important in an engineering problem students also | 2x:considered maintenance because a design that works for one week | 2x:might fail after several months this long term thinking made | 2x:the investigation more realistic ,FAIL,BLOCKER
informational,How Wetlands Protect a Watershed,6,1569,83,13,70,81,11,70,0.1358,2x:water soil plants and animals interact in ways that affect | 2x:the whole watershed the passage uses cause and effect structure | 2x:to show that slowing water can reduce erosion improve water | 2x:clarity and protect habitats downstream another section explains a problem | 2x:and solution relationship runoff carries pollutants and wetland plants help | 2x:reduce the amount that reaches creeks technical terms are explained | 2x:through context so readers can understand how filtration sediment nutrients | 2x:and habitat are connected these details develop the central idea | 2x:that wetlands are not empty land they are active natural | 2x:systems that protect water quality scientists describe wetlands as systems | 2x:because water soil plants and animals interact in ways that | 2x:affect the whole watershed the passage uses cause and effect | 2x:structure to show that slowing water can reduce erosion improve | 2x:water clarity and protect habitats downstream another section explains a,FAIL,BLOCKER
literary,The Last Bell Before the Storm,6,1116,32,10,22,59,15,44,0.2542,2x:the project when she had treated every task like a | 2x:checklist and let malik make most of the decisions now | 2x:the storm made each choice feel less like an assignment | 2x:and more like a promise to the people who had | 2x:trusted the class if we hurry we can save the | 2x:sign frames without stepping near the flooded drain malik said | 2x:nora noticed that his voice sounded nervous not careless and,FAIL,BLOCKER
paired,Two Views of a Community Garden,6,1253,45,10,35,74,13,61,0.1757,2x:first text uses a reflective narrator so readers see how | 2x:a small classroom project changes the student s understanding of | 2x:responsibility the second text uses a more public informational style | 2x:that weighs evidence before recommending action both texts include people | 2x:making decisions with limited resources but they develop that idea | 2x:differently one emphasizes personal observation while the other emphasizes data | 2x:compromise and community impact a reader can compare the texts | 2x:by asking which details show cooperation which details show obstacles | 2x:and which details show how evidence changes a plan the | 2x:contrast matters because a garden is not presented as a | 2x:simple decoration in both texts the garden becomes a test | 2x:of planning patience and shared responsibility the first text uses | 2x:a reflective narrator so readers see how a small classroom | 2x:project changes the student s understanding of responsibility the second | 2x:text uses a m,FAIL,BLOCKER
table,Designing a Water-Smart Schoolyard,6,1551,68,12,56,110,12,98,0.1091,2x:single perfect design instead it helps readers compare benefits and | 2x:trade offs which is important in an engineering problem students | 2x:also considered maintenance because a design that works for one | 2x:week might fail after several months this long term thinking | 2x:made the investigation more realistic the rain barrel saved the | 2x:most water but the overflow problem showed why data must | 2x:be interpreted instead of copied without analysis by combining two | 2x:solutions the class used evidence from the table and information | 2x:from the passage that connection between prose and data supports | 2x:the final recommendation the chart does not identify a single | 2x:perfect design instead it helps readers compare benefits and trade | 2x:offs which is important in an engineering problem students also | 2x:considered maintenance because a design that works for one week | 2x:might fail after several months this long term thinking made | 2x:the investigation more realistic ,FAIL,BLOCKER
informational,How Wetlands Protect a Watershed,7,1763,93,13,80,91,11,80,0.1209,2x:water soil plants and animals interact in ways that affect | 2x:the whole watershed the passage uses cause and effect structure | 2x:to show that slowing water can reduce erosion improve water | 2x:clarity and protect habitats downstream another section explains a problem | 2x:and solution relationship runoff carries pollutants and wetland plants help | 2x:reduce the amount that reaches creeks technical terms are explained | 2x:through context so readers can understand how filtration sediment nutrients | 2x:and habitat are connected these details develop the central idea | 2x:that wetlands are not empty land they are active natural | 2x:systems that protect water quality scientists describe wetlands as systems | 2x:because water soil plants and animals interact in ways that | 2x:affect the whole watershed the passage uses cause and effect | 2x:structure to show that slowing water can reduce erosion improve | 2x:water clarity and protect habitats downstream another section explains a,FAIL,BLOCKER
literary,The Last Bell Before the Storm,7,1220,35,10,25,65,15,50,0.2308,2x:the project when she had treated every task like a | 2x:checklist and let malik make most of the decisions now | 2x:the storm made each choice feel less like an assignment | 2x:and more like a promise to the people who had | 2x:trusted the class if we hurry we can save the | 2x:sign frames without stepping near the flooded drain malik said | 2x:nora noticed that his voice sounded nervous not careless and | 2x:that changed the argument between them the courtyard usually loud | 2x:with basketballs and lunch conversations seemed unfamiliar under the low | 2x:clouds that change in setting made the exhibit feel fragile | 2x:and made nora understand why planning mattered when a gust | 2x:lifted the corner of the poster board nora had to | 2x:decide whether to protect the work herself or ask for | 2x:help the decision revealed that courage was not the same | 2x:as pretending not to be afraid by the time a | 2x:teacher reached the courtyard the signs were stacked safely inside | 2x:nora did,FAIL,BLOCKER
paired,Two Views of a Community Garden,7,1512,54,10,44,90,13,77,0.1444,2x:first text uses a reflective narrator so readers see how | 2x:a small classroom project changes the student s understanding of | 2x:responsibility the second text uses a more public informational style | 2x:that weighs evidence before recommending action both texts include people | 2x:making decisions with limited resources but they develop that idea | 2x:differently one emphasizes personal observation while the other emphasizes data | 2x:compromise and community impact a reader can compare the texts | 2x:by asking which details show cooperation which details show obstacles | 2x:and which details show how evidence changes a plan the | 2x:contrast matters because a garden is not presented as a | 2x:simple decoration in both texts the garden becomes a test | 2x:of planning patience and shared responsibility the first text uses | 2x:a reflective narrator so readers see how a small classroom | 2x:project changes the student s understanding of responsibility the second | 2x:text uses a m,FAIL,BLOCKER
table,Designing a Water-Smart Schoolyard,7,1769,77,12,65,126,12,114,0.0952,2x:single perfect design instead it helps readers compare benefits and | 2x:trade offs which is important in an engineering problem students | 2x:also considered maintenance because a design that works for one | 2x:week might fail after several months this long term thinking | 2x:made the investigation more realistic the rain barrel saved the | 2x:most water but the overflow problem showed why data must | 2x:be interpreted instead of copied without analysis by combining two | 2x:solutions the class used evidence from the table and information | 2x:from the passage that connection between prose and data supports | 2x:the final recommendation the chart does not identify a single | 2x:perfect design instead it helps readers compare benefits and trade | 2x:offs which is important in an engineering problem students also | 2x:considered maintenance because a design that works for one week | 2x:might fail after several months this long term thinking made | 2x:the investigation more realistic ,FAIL,BLOCKER
